School Year,School Number,School Name,Principal,Phone,Associate Superintendent,Cluster,Attendance Rate,Drop out rate,Mobility Rate (Entrants + Withdrawals),Grade 12 Documented Decision - College,Grade 12 Documented Decision - Employment,Grade 12 Documented Decision - Military,Grade 12 Documented Decision - College - Employment,Graduation Rate,Students Meeting University System of Maryland Requirements,Location 1
2014,502,Olney ES,Mrs. Carla Glawe,(301) 924-3126,Dr. Myra J. Smith,Sherwood,95,,5,,,,,,,"3401 Queen Mary Drive
Olney, MD 20832
(39.148399674000075, -77.06708266199996)"
2014,413,North Bethesda MS,Mr. Alton E. Sumner,(301) 571-3883,Dr. Darryl L. Williams,Walter Johnson,95,,5.8,,,,,,,"8935 Bradmoor Drive
Bethesda, MD 20817
(39.00351917800003, -77.12505057499999)"
2014,206,Twinbrook ES,Mrs. Karen L. Johnson,(301) 230-5925,Dr. Donna S. Hollingshead,Richard Montgomery,95,,19.6,,,,,,,"5911 Ridgway Avenue
Rockville, MD 20851
(39.06705777600007, -77.12016871099996)"
2014,554,Gaithersburg MS,Ms. Carol L. Goddard,(301) 840-4554,Dr. Darryl L. Williams,Gaithersburg,95,,14.1,,,,,,,"2 Teachers' Way
Gaithersburg, MD 20877
(39.14296664500006, -77.18805885099994)"
2014,951,Longview School,Ms. Michelle M. Mach,(301) 601-4830,Dr. LaVerne G. Kimball,Northwest,84.7,,5,,,,,,,"13900 Bromfield Road
Germantown, MD 20874
(39.15125064800003, -77.29453251399997)"
2014,233,Fallsmead ES,Mrs. Roni S. Silverstein,(301) 279-4984,Dr. Donna S. Hollingshead,Thomas S. Wootton,95,,8.8,,,,,,,"1800 Greenplace Terrace
Rockville, MD 20850
(39.07866347600003, -77.17719733499996)"
2014,551,Gaithersburg HS,Dr. Christine C. Handy-Collins,(301) 284-4500,Dr. Christopher S. Garran,Gaithersburg,92.4,10.1,16.9,85.6,5,5,60.9,76.9,64.9,"101 Education Boulevard
Gaithersburg, MD 20877
(39.13492033400007, -77.19405581999996)"
2014,159,Rachel Carson ES,Mr. Lawrence D. Chep,(301) 840-5333,Dr. LaVerne G. Kimball,Quince Orchard,95,,8,,,,,,,"100 Tschiffely Square Road
Gaithersburg, MD 20878
(39.115972173000046, -77.24639887199999)"
2014,703,Cedar Grove ES,Mr. Lee F. Derby,(301) 253-7000,Dr. LaVerne G. Kimball,"Clarksburg, Damascus",95,,12.4,,,,,,,"24001 Ridge Road
Germantown, MD 20876
(39.249363739000046, -77.23366270799994)"
2014,101,Clarksburg ES,Mrs. Kwang J. Lee,(301) 353-8060,Dr. LaVerne G. Kimball,Clarksburg,95,,15,,,,,,,"13530 Redgrave Place
Clarksburg, MD 20871
(39.236916791000056, -77.28218299099996)"
2014,125,Quince Orchard HS,Mrs. Carole A. Working,(301) 840-4686,Dr. Christopher S. Garran,Quince Orchard,94.7,5,8.3,94.1,5,5,58.9,88.3,82.7,"15800 Quince Orchard Road
Gaithersburg, MD 20878
(39.11529771600004, -77.25298592899998)"
2014,794,Rosemary Hills ES,Mrs. Deborah C. Ryan,(301) 650-6400,Dr. Donna S. Hollingshead,Bethesda-Chevy Chase,94.8,,9,,,,,,,"2111 Porter Road Silver Spring
MD 20910
(39.00077622100008, -77.04552619899994)"
2014,309,Burnt Mills ES,Ms. Lisa O. Thomas,(301) 649-8192,Dr. Myra J. Smith,Northeast Consortium,95,,23,,,,,,,"11211 Childs Street Silver Spring
MD 20901
(39.03874423000008, -77.00282721699995)"
2014,546,Goshen ES,Mrs. Yolanda R. Allen,(301) 840-8165,Dr. Myra J. Smith,Gaithersburg,95,,14.7,,,,,,,"8701 Warfield Road
Gaithersburg, MD 20882
(39.19328191900007, -77.17985125699994)"
2014,105,Ridgeview MS,Mrs. Monifa B. McKnight,(240) 406-1300,Dr. Darryl L. Williams,Quince Orchard,95,,9.7,,,,,,,"16600 Raven Rock Drive
Gaithersburg, MD 20878
(39.127493257000026, -77.24784801299995)"
2014,563,Summit Hall ES,Mr. Keith R. Jones,(301) 840-7127,Dr. Myra J. Smith,Gaithersburg,95,,22.7,,,,,,,"101 West Deer Park Road
Gaithersburg, MD 20877
(39.134722287000045, -77.20516707699994)"
2014,607,Bells Mill ES,Mrs. Jerri L. Oglesby,(301) 469-1046,Dr. Donna S. Hollingshead,Winston Churchill,95,,5,,,,,,,"8225 Bells Mill Road
Potomac, MD 20854
(39.031317451000064, -77.16877310999996)"
2014,335,Briggs Chaney MS,Dr. Tamitha E. Campbell,(301) 989-6000,Dr. Darryl L. Williams,Northeast Consortium,94.8,,13.2,,,,,,,"1901 Rainbow Drive Silver Spring
MD 20905
(39.11086407400006, -76.97217193899996)"
2014,817,Glenallan ES,Mr. Peter O. Moran,(301) 929-2014,Ms. Bronda L. Mills,Downcounty Consortium,94.8,,20.4,,,,,,,"12520 Heurich Road Silver Spring
MD 20902
(39.06104149400005, -77.03959420599995)"
2014,797,Harmony Hills ES,Dr. Carole E. Rawlison,(301) 929-2157,Ms. Bronda L. Mills,Downcounty Consortium,95,,22.9,,,,,,,"13407 Lydia Street Silver Spring
MD 20906
(39.076723936000064, -77.07688502899998)"
2014,408,Westbrook ES,Ms. Jennifer S. Lane,(301) 320-6506,Dr. Donna S. Hollingshead,Bethesda-Chevy Chase,95,,6.7,,,,,,,"5110 Allan Terrace
Bethesda, MD 20816
(38.956305057000066, -77.10301008199997)"
2014,780,Bel Pre ES,Mrs. Carmen L. Van Zutphen,(301) 460-2145,Ms. Bronda L. Mills,Downcounty Consortium,94.6,,21.4,,,,,,,"15101 Bauer Drive
Rockville, MD 20852
(39.10319777500007, -77.10466408699995)"
2014,788,Wheaton Woods ES,Mr. David T. Chia,(301) 929-2018,Ms. Bronda L. Mills,Downcounty Consortium,95,,16.9,,,,,,,"4510 Faroe Place
Rockville, MD 20853
(39.068815648000054, -77.08895496299994)"
2014,249,Clarksburg HS,Mr. James P. Koutsos,(301) 444-3000,Dr. Christopher S. Garran,Clarksburg,95,6.5,10.4,92.7,5,5,61.9,88.6,71.8,"22500 Wims Road
Clarksburg, MD 20871
(39.22539552200004, -77.26484390499996)"
