OBJECTID,CLUSTER_,NAME,DESCRIPT,DATA_DESCRIPTION,SCHCLUSTR,SHAPEAREA,SHAPELEN
1620,1,Bethesda-Chevy Chase Cluster,Bethesda-Chevy Chase,Data represents School Year 2023/2024 information.  Data obtained from John Salamon (John_N_Salamon@mcpsmd.org),BETHCC,294828504.788548,114375.252963095
1621,2,Clarksburg Cluster,Clarksburg,Data represents School Year 2023/2024 information.  Data obtained from John Salamon (John_N_Salamon@mcpsmd.org),CLRKSBG,725740770.735699,211400.610594089
1622,3,Winston Churchill Cluster,Winston Churchill,Data represents School Year 2023/2024 information.  Data obtained from John Salamon (John_N_Salamon@mcpsmd.org),CHCHILL,859789896.549675,190208.473418554
1623,4,Damascus Cluster,Damascus,Data represents School Year 2023/2024 information.  Data obtained from John Salamon (John_N_Salamon@mcpsmd.org),DAMSCUS,1275533544.69675,236235.950694151
1624,5,Downcounty Consortium,Downcounty Consortium,Data represents School Year 2023/2024 information.  Data obtained from John Salamon (John_N_Salamon@mcpsmd.org),DOWNCNTY,852950229.702127,206193.994537094
1625,6,Gaithersburg Cluster,Gaithersburg,Data represents School Year 2023/2024 information.  Data obtained from John Salamon (John_N_Salamon@mcpsmd.org),GATHERS,807191795.450868,252081.816207128
1626,7,Walter Johnson Cluster,Walter Johnson,Data represents School Year 2023/2024 information.  Data obtained from John Salamon (John_N_Salamon@mcpsmd.org),JOHNSON,371386983.419144,120548.439931501
1627,9,Col. Zadok Magruder Cluster,Col. Zadok Magruder,Data represents School Year 2023/2024 information.  Data obtained from John Salamon (John_N_Salamon@mcpsmd.org),MAGRUDR,564959583.565021,156164.34039131
1628,10,Richard Montgomery Cluster,Richard Montgomery,Data represents School Year 2023/2024 information.  Data obtained from John Salamon (John_N_Salamon@mcpsmd.org),MONTGMY,265492097.130842,111820.055633133
1629,11,Northeast Consortium,Northeast Consortium,Data represents School Year 2023/2024 information.  Data obtained from John Salamon (John_N_Salamon@mcpsmd.org),NRTHEST,1291968219.17304,254544.250379224
1630,12,Northwest Cluster,Northwest,Data represents School Year 2023/2024 information.  Data obtained from John Salamon (John_N_Salamon@mcpsmd.org),NRTHWST,783166637.609949,212691.263823631
1631,13,Poolesville Cluster,Poolesville,Data represents School Year 2023/2024 information.  Data obtained from John Salamon (John_N_Salamon@mcpsmd.org),POOLSVL,2973993151.78088,271297.19081784
1632,14,Quince Orchard Cluster,Quince Orchard,Data represents School Year 2023/2024 information.  Data obtained from John Salamon (John_N_Salamon@mcpsmd.org),QORCHRD,274407138.404814,143541.186100163
1633,15,Rockville Cluster,Rockville,Data represents School Year 2023/2024 information.  Data obtained from John Salamon (John_N_Salamon@mcpsmd.org),ROCKVIL,293348078.584581,135304.735898676
1634,16,Seneca Valley Cluster,Seneca Valley,Data represents School Year 2023/2024 information.  Data obtained from John Salamon (John_N_Salamon@mcpsmd.org),SNCAVLY,495138753.860896,181646.268353174
1635,17,Sherwood Cluster,Sherwood,Data represents School Year 2023/2024 information.  Data obtained from John Salamon (John_N_Salamon@mcpsmd.org),SHERWOD,966930304.638659,216128.299015903
1636,18,Watkins Mill Cluster,Watkins Mill,Data represents School Year 2023/2024 information.  Data obtained from John Salamon (John_N_Salamon@mcpsmd.org),WTKNSML,180548649.033298,66057.5015664862
1637,20,Walt Whitman Cluster,Walt Whitman,Data represents School Year 2023/2024 information.  Data obtained from John Salamon (John_N_Salamon@mcpsmd.org),WHITMAN,464435546.144003,158956.162484882
1638,21,Thomas S. Wootton Cluster,Thomas S. Wootton,Data represents School Year 2023/2024 information.  Data obtained from John Salamon (John_N_Salamon@mcpsmd.org),WOOTTON,386647596.259263,178473.540292757
