GEO_ID,NAME,B25077_001E,B25077_001M
Geography,Geographic Area Name,Estimate!!Median value (dollars),Margin of Error!!Median value (dollars)
0500000US24031,"Montgomery County, Maryland",636200,10274
1600000US2404000,"Baltimore city, Maryland",241900,7207
1600000US2407125,"Bethesda CDP, Maryland",1147800,49677
1600000US2419125,"Columbia CDP, Maryland",475300,18314
1600000US2426000,"Ellicott City CDP, Maryland",669600,18754
1600000US2430325,"Frederick city, Maryland",404900,24963
1600000US2431175,"Gaithersburg city, Maryland",481800,22937
1600000US2432025,"Germantown CDP, Maryland",407200,32178
1600000US2432650,"Glen Burnie CDP, Maryland",331600,15885
1600000US2467675,"Rockville city, Maryland",665600,29622
1600000US2472450,"Silver Spring CDP, Maryland",620800,37713
1600000US2481175,"Waldorf CDP, Maryland",399800,18857
